i,d,l,e,,,,,,,,,,,,,,,
11,4.35,8.94,-1.01,-0.33,1.6,-2.76,9.64,-0.46,0.04,2.25,-2.35,0,5.16,0,0,0,idle,
12,4.37,8.97,-0.96,-2.75,2.27,-1.52,9.71,-0.59,-0.2,-0.82,1.59,0,5.15,0,0,0,idle,
13,4.35,9,-1.06,-2.92,1.88,-1.67,9.65,-0.5,-0.09,-1.4,0.77,0,5.15,0,0,0,idle,
14,4.36,8.97,-1.14,-3.2,0.11,-1.08,9.67,-0.58,-0.14,-1.27,0.72,0,5.15,0,0,0,idle,
15,4.32,8.97,-1.11,-3.79,0.03,-0.53,9.65,-0.51,-0.1,-1.87,1.1,0,5.15,0,0,0,idle,
16,4.34,8.92,-1.18,-3.36,0.83,-1.76,9.65,-0.63,0.02,-1.52,0.85,0,5.16,0,0,0,idle,
17,4.2,8.96,-1.06,-2.9,0.89,-1.79,9.59,-0.59,-0.11,-1.61,0.97,0,5.15,0,0,0,idle,
18,4.47,8.93,-1.09,-3.24,0.5,-2.18,9.64,-0.66,-0.17,-2.04,0.95,0,5.15,0,0,0,idle,
19,4.35,8.93,-1.15,-3.27,1.59,-2.23,9.69,-0.66,-0.1,-2.43,1.03,0,5.13,0,0,0,idle,
20,4.28,8.9,-1.12,-3.97,-1.32,-1.04,9.54,-0.6,-0.07,-2.82,0.55,0,5.15,0,0,0,idle,
21,4.26,8.89,-1.11,-4.39,-1.56,-0.95,9.69,-0.51,-0.14,-3.26,0.8,0,5.15,0,0,0,idle,
22,4.33,8.86,-1.08,-4.12,-0.52,-1.76,9.66,-0.54,-0.06,-3.72,1,0,5.09,0,0,0,idle,
23,4.28,8.94,-1.08,-3.18,1.03,-1.9,9.62,-0.52,0.02,-3.69,0.92,0,5.15,0,0,0,idle,
24,4.46,8.9,-1.12,-1.6,-0.34,-3.63,9.64,-0.57,-0.08,0.84,-2.44,0,5.16,0,0,0,idle,
25,4.33,8.98,-1.14,-1.25,1.68,-4.28,9.68,-0.51,-0.02,-2.03,0.65,0,5.14,0,0,0,idle,
26,4.42,8.85,-1.03,-0.96,-1.11,-2.83,9.56,-0.6,-0.07,-1.7,0.64,0,5.15,0,0,0,idle,
27,4.46,8.91,-0.97,-1.53,-0.82,-2.27,9.64,-0.6,-0.17,-1.86,0.82,0,5.16,0,0,0,idle,
28,4.46,8.97,-1.02,-1.78,-0.09,-1.73,9.61,-0.57,-0.17,-1.73,1.41,0,5.1,0,0,0,idle,
29,4.5,9.08,-1.03,-3.01,-0.72,-1.4,9.66,-0.52,-0.13,-1.98,1.48,0,5.15,0,0,0,idle,
0,4.31,8.9,-1.21,-3.89,-3.2,3.23,9.56,-0.49,0.1,0.4,0.57,0,5.16,0,0,0,idle,
1,4.24,8.84,-1.1,-2.62,-4.45,2.5,9.65,-0.62,-0.06,-0.32,1.58,0,5.16,0,0,0,idle,
2,4.37,8.9,-1.01,0.61,1.31,-4.31,9.68,-0.43,-0.05,2.31,0.31,0,5.16,0,0,0,idle,
3,4.43,9.03,-1.03,2.17,7.06,-6.96,9.57,-0.62,0.07,0.89,1.63,0,5.15,0,0,0,idle,
4,4.54,8.84,-1.06,-1.74,1.69,-3.15,9.57,-0.48,-0.01,2.79,0.97,0,5.15,0,0,0,idle,
5,4.6,9.12,-1.14,-1.41,-0.64,-0.4,9.54,-0.57,0.04,5.05,-0.08,0,5.1,0,0,0,idle,
6,4.65,8.9,-0.97,-1.05,8.24,-4.4,9.64,-0.56,0.07,3.52,0.08,0,5.16,0,0,0,idle,
7,4.49,8.9,-1.04,-2.04,5.79,-0.4,9.59,-0.66,-0.13,3.28,0.76,0,5.15,0,0,0,idle,
8,4.53,8.85,-0.96,-0.68,6.37,-2.43,9.69,-0.66,0.05,2.53,0.87,0,5.15,0,0,0,idle,
9,4.42,8.78,-1.11,-0.98,9.13,-1.47,9.65,-0.66,0.03,2.11,0.82,0,5.16,0,0,0,idle,
10,4.39,8.92,-1.21,-3.99,2.21,2.85,9.55,-0.48,0.15,1.78,0.9,0,5.15,0,0,0,idle,
11,4.35,8.95,-1.14,-3.38,1.17,1.89,9.58,-0.58,0.13,1.97,0.56,0,5.16,0,0,0,idle,
12,4.31,8.94,-1.18,-2,3.4,-0.4,9.67,-0.63,0.03,2.05,0.02,0,5.15,0,0,0,idle,
13,4.31,8.71,-1.17,-0.89,6.18,-1.4,9.66,-0.54,0.02,0.66,1.37,0,5.12,0,0,0,idle,
14,4.22,8.87,-1.15,-1.02,5.56,0.43,9.64,-0.51,0.05,1.05,0.18,0,5.15,0,0,0,idle,
15,4.29,8.84,-1.21,-2.06,1.98,-1.58,9.52,-0.6,0,-0.27,-0.38,0,5.16,0,0,0,idle,
16,4.18,8.92,-1.31,-0.98,1.63,0.31,9.59,-0.59,-0.06,-0.18,-0.42,0,5.16,0,0,0,idle,
17,4.22,9.03,-1.16,-0.44,-0.8,0.59,9.6,-0.63,0.07,-0.43,0.02,0,5.12,0,0,0,idle,
18,4.22,9.08,-1.08,0.33,-0.63,-1.77,9.7,-0.64,0.07,-0.21,-0.23,0,5.14,0,0,0,idle,
19,4.3,8.97,-1,-0.69,0.63,-3.79,9.58,-0.66,-0.04,-0.18,-0.46,0,5.15,0,0,0,idle,
20,4.35,8.94,-0.97,-0.24,1.55,-5.53,9.58,-0.63,0.03,-0.4,-0.36,0,5.11,0,0,0,idle,
21,4.32,8.96,-1.02,-3.18,1.08,-4.4,9.63,-0.59,-0.04,-0.68,0.18,0,5.15,0,0,0,idle,
22,4.36,8.94,-1.07,-4.72,-1.29,-4.34,9.55,-0.6,-0.05,-0.58,0.36,0,5.15,0,0,0,idle,
23,4.47,8.83,-1.09,-3.47,-0.04,-5.44,9.69,-0.55,0.03,-1.38,0.13,0,5.16,0,0,0,idle,
24,4.56,8.82,-1.08,-2.59,1.81,-5.02,9.65,-0.57,0.02,-1.31,0.18,0,5.15,0,0,0,idle,
25,4.49,8.84,-1.12,-4.59,-1.24,-2.81,9.57,-0.46,0,-1.88,1.02,0,5.16,0,0,0,idle,
26,4.51,8.83,-1.18,-3.44,0.68,-3.51,9.68,-0.64,-0.02,-1.88,0.85,0,5.14,0,0,0,idle,
27,4.49,8.88,-1.14,-3.63,1.89,-1.64,9.66,-0.52,-0.04,-2.15,1.08,0,5.15,0,0,0,idle,
28,4.45,8.91,-1.14,-4.17,-0.28,-0.5,9.61,-0.47,-0.04,-1.75,0.6,0,5.15,0,0,0,idle,
29,4.49,9,-1.14,-2.15,2.46,-0.49,9.62,-0.49,-0.06,-2.5,1.69,0,5.16,0,0,0,idle,
